c/n,f/f,operator,type,St
6.0,15.10.14,Qatar AW,350-941,C
7.0,21.01.15,Qatar AW,350-941,C
8.0,09.07.15,Qatar AW,350-941,C
9.0,27.03.15,Qatar AW,350-941,C
10.0,11.05.15,Qatar AW,350-941,C
11.0,28.08.15,Qatar AW,350-941,C
12.0,05.02.16,Qatar AW,350-941,C
13.0,08.10.15,Qatar AW,350-941,C
14.0,01.06.15,Vietnam AL lsd,350-941,C
15.0,31.07.15,Vietnam AL lsd,350-941,C
16.0,10.09.15,Vietnam AL lsd,350-941,C
17.0,30.10.15,Vietnam AL lsd,350-941,C
18.0,16.09.15,Finnair,350-941,C
19.0,22.10.15,Finnair,350-941,C
20.0,07.11.15,Finnair,350-941,C
21.0,14.03.16,Qatar AW,350-941,C
22.0,04.12.15,Finnair,350-941,C
23.0,07.01.16,Finnair,350-941,C
24.0,01.12.15,TAM,350-941,
25.0,06.05.16,Qatar AW,350-941,C
26.0,02.02.16,Singapore AL,350-941,C
27.0,10.02.16,TAM,350-941,
28.0,13.04.16,Finnair,350-941,C
29.0,24.03.16,Cathay Pacific,350-941,C
30.0,02.04.16,Singapore AL,350-941,C
31.0,27.04.16,Singapore AL,350-941,C
32.0,04.08.16,Cathay Pacific,350-941,C
33.0,30.05.16,Qatar AW,350-941,C
34.0,08.06.16,Cathay Pacific,350-941,C
35.0,27.04.16,TAM,350-941,
36.0,07.09.16,Qatar AW,350-941,C
37.0,03.06.16,Singapore AL,350-941,C
38.0,05.09.16,Cathay Pacific,350-941,C
39.0,25.07.16,Cathay Pacific,350-941,C
40.0,08.06.16,Ethiopian AL,350-941,C
41.0,06.07.16,Singapore AL,350-941,C
42.0,18.10.16,Qatar AW,350-941,C
43.0,01.08.16,Ethiopian AL,350-941,C
44.0,22.07.16,Thai AW International,350-941,C
45.0,05.08.16,LATAM,350-941,
46.0,30.09.16,Cathay Pacific,350-941,C
47.0,13.01.17,Qatar AW,350-941,C
48.0,06.09.16,LATAM,350-941,
49.0,14.09.16,China AL,350-941,C
50.0,15.09.16,Thai AW International,350-941,C
51.0,07.09.16,Finnair,350-941,C
52.0,26.10.16,Sichuan AL,350-941,C
53.0,28.10.16,Cathay Pacific,350-941,C
54.0,26.09.16,Singapore AL,350-941,C
55.0,01.12.16,Sichuan AL,350-941,C
56.0,05.10.16,Vietnam AL,350-941,C
57.0,27.10.16,China AL,350-941,C
58.0,18.10.16,Cathay Pacific,350-941,C
60.0,27.10.17,Sichuan AL,350-941,C
61.0,09.11.16,Cathay Pacific,350-941,C
62.0,17.11.16,Singapore AL,350-941,C
63.0,25.08.17,Qatar AW,350-941,C
64.0,17.10.16,LATAM,350-941,
66.0,01.12.16,China AL,350-941,C
67.0,13.12.16,Vietnam AL,350-941,C
68.0,18.11.16,Singapore AL,350-941,C
69.0,06.04.17,Qatar AW,350-941,C
70.0,13.01.17,Cathay Pacific,350-941,C
72.0,17.02.17,Cathay Pacific,350-941,C
73.0,14.12.16,China AL,350-941,C
74.0,29.11.16,Lufthansa,350-941,C
75.0,11.12.16,Cathay Pacific,350-941,C
76.0,17.05.17,Qatar AW,350-941,C
77.0,02.12.16,Singapore AL,350-941,C
78.0,05.09.17,Qatar AW,350-941,C
79.0,29.11.16,LATAM,350-941,
80.0,27.01.17,Lufthansa,350-941,C
81.0,15.12.16,Singapore AL,350-941,C
82.0,08.02.17,Air Caraibes,350-941,C
83.0,08.06.17,Qatar AW,350-941,C
84.0,06.02.17,Singapore AL,350-941,C
85.0,06.03.17,Cathay Pacific,350-941,C
86.0,21.02.17,Vietnam AL,350-941,C
87.0,13.03.17,Lufthansa,350-941,C
88.0,07.12.17,Qatar AW,350-1041,C
89.0,16.01.17,Ethiopian AL,350-941,C
90.0,19.10.17,Qatar AW,350-941,C
91.0,09.03.17,Air Caraibes,350-941,C
92.0,23.02.17,China AL,350-941,C
93.0,12.04.17,Cathay Pacific,350-941,C
94.0,28.03.17,Asiana AL,350-941,C
95.0,28.03.17,Thai AW International,350-941,C
96.0,16.03.17,Singapore AL,350-941,C
97.0,11.03.17,Finnair,350-941,C
98.0,03.09.18,Hainan AL,350-941,C
99.0,12.04.17,Singapore AL,350-941,C
100.0,13.03.18,Qatar AW,350-941,C
101.0,05.05.17,Cathay Pacific,350-941,C
102.0,18.05.18,Qatar AW,350-1041,C
103.0,10.04.17,Ethiopian AL,350-941,C
104.0,11.05.17,Finnair,350-941,C
105.0,03.05.17,China AL,350-941,C
106.0,13.04.18,Qatar AW,350-941,C
107.0,10.04.17,Singapore AL,350-941,C
109.0,18.04.17,Cathay Pacific,350-941,C
110.0,31.07.18,Qatar AW,350-1041,C
111.0,28.04.17,Thai AW International,350-941,C
112.0,21.09.18,Hainan AL,350-941,C
113.0,09.06.17,Finnair,350-941,C
114.0,16.05.18,Qatar AW,350-941,C
115.0,24.05.17,Delta AL,350-941,C
116.0,22.05.17,Singapore AL,350-941,C
117.0,29.06.17,Asiana AL,350-941,C
118.0,03.05.18,Cathay Pacific,350-1041,C
119.0,13.06.17,Cathay Pacific,350-941,C
120.0,08.06.17,Ethiopian AL,350-941,C
121.0,30.06.17,China AL,350-941,C
122.0,14.06.17,Singapore AL,350-941,C
123.0,22.06.17,Thai AW International,350-941,C
