c/n;f/f;testreg;regi;operator;d/d;type;St
1;25.10.91;F-WWAI;;Airbus PR 340-3 ;;340-311 ;C
2;03.02.92;F-WWAS;;Airbus #2 340-3 ;;340-311 ;
;;;G-VHOL;Virgin Atlantic ;30.05.97;;
;;;M-YRGU;GMT Holdings 4;01.09.11;;
;;;EP-APA;Iran Aseman AL;11.01.12;;C
3;15.06.92;F-WWDA;;Airbus #3 340-3 ;;340-311 ;
;;;G-VSEA;Virgin Atlantic ;07.07.97;;
;;;M-YRGV;GMT Holdings 4;08.12.11;;
;;;F-WZGG;Airbus;06.09.12;;STD
4;01.04.92;F-WWBA;;Airbus PR 340-2 ;;340-211 ;
;;;HZ-124;Saudi Arabian Gvmt;28.02.97;;C
5;31.07.92;F-WWCA;F-GLZA;Air France lsd;17.08.93;340-311 ;
;;;EC-KCL;Iberia lsd;06.03.07;;SCR
6;20.07.92;F-WWBE;D-AIBF;Lufthansa ;16.11.93;340-211 ;
;;;ZS-SLF;South African AW lsd;24.06.04;;STD
7;15.01.93;;F-GLZB;Air France lsd;26.02.93;340-312 ;
;;;EC-JIS;Air Madrid lsd;07.06.05;;
;;;EC-KHU;Air Comet lsd;17.07.07;;
;;;EI-ELH;AALN;30.12.09;;SCR
8;07.12.92;F-WWJA;D-AIBA;Lufthansa ;29.01.93;340-211 ;
;;;ZS-SLA;South African AW lsd;08.04.03;;STD
9;13.01.93;F-WWJB;D-AIBB;Lufthansa ;11.03.93;340-211 ;
;;;V8-BKH;Brunei Gvmt ;05.04.93;;
;;;V8-JP1;Brunei Gvmt rr;s28.04.96;;
;;;V8-AM1;Brunei Gvmt rr;26.09.97;;
;;;JY-ABH;Jordanian Gvmt;r23.08.00;;
;;;HZ-AJ1;Ajwa Aviation;15.10.09;;
;;;HZ-A1;Alpha Star Avtn Svcs;01.07.13;;
;;;HZ-SKY1;Sky Prime Aviation Svcs tfd;29.12.15;;C
10;18.03.93;F-WWJC;F-GNIA;Sabena/Air France ;13.05.93;340-211 ;W/O
11;03.02.93;F-WWJD;D-AIBC;Lufthansa ;05.04.93;340-211 ;
;;F-WTBG;ZS-SLB;South African AW lsd;22.05.03;;SCR
12;02.11.92;F-WWKA;;Airbus PR 330-3 ;;330-301 ;
;31.01.94;;;Trent-PR 330;;*330-341;
;;;VR-HLJ;Cathay Pacific;18.10.96;*342;
;;;B-HLJ ;Cathay Pacific rr ;26.10.97;;
;;;;Dragonair tfd;31.03.13;;
;;;;Cathay Dragon nn;21.11.16;;SCR
13;19.10.93;F-WWJE;G-VBUS;Virgin Atlantic ;26.11.93;340-311 ;
;;;;Virgin Nigeria tfd;14.06.05;;
;;;EC-KCF;Air Comet lsd;08.03.07;;SCR
14;01.04.93;F-WWJF;F-GNIB;Sabena/Air France ;09.06.93;340-211 ;
;;;;Lufthansa slsd;28.03.96;;
;;;OO-SCW;Sabena ret;26.06.96;;
;;;;AOM-Air Outre Mer lsd;17.08.00;;
;;;;Sabena ret;07.11.00;;
;;;F-OHLQ;Royal Jordanian AL lsd;25.05.03;*212;
;;;JY-AIC;Royal Jordanian AL rr;00.07.07;;SCR
15;26.10.93;F-WWJG;G-VAEL;Virgin Atlantic ;15.12.93;340-311 ;
;;;EC-KAJ;Air Comet;10.01.07;;
;;;F-WBSR;Airbus;18.08.09;;
;;;YA-TTB;Safi AW lsd;21.11.09;;
;;;F-WTBA;Airbus ret;29.09.11;;SCR
16;03.11.93;F-WWJH;G-VSKY;Virgin Atlantic ;21.01.94;340-311 ;
;;;9Y-JIL;BWIA Int'l lsd;23.01.04;;
;;;;Caribbean AL nn;01.01.07;;SCR
17;03.12.92;F-WWKB;;Airbus #2 330-3 ;;330-301 ;
;;;VR-HLK;Cathay Pacific;24.01.97;*342;
;;;B-HLK ;Cathay Pacific rr ;28.10.97;;
;;;;Dragonair tfd;27.02.13;;
;;;;Cathay Dragon nn;22.11.16;;STD
18;18.06.93;F-WWJI;D-AIBD;Lufthansa ;10.07.93;340-211 ;
;;;ZS-SLC;South African AW lsd;08.07.03;;SCR
19;02.07.93;F-WWJJ;D-AIBE;Lufthansa ;28.08.93;340-211 ;
;;;ZS-SLD;South African AW lsd;27.08.03;;SCR
20;08.09.93;F-WWJK;D-AIGA;Lufthansa ;07.12.93;340-311 ;
;;;HS-CHA;Chaba AL;03.07.12;;
;;;EX-34001;Manas AW;22.12.12;;
;;;EP-MMA;Mahan Air;01.02.13;;C
21;06.08.93;F-WWJL;D-AIBH;Lufthansa ;22.10.93;340-211 ;
;;;ZS-SLE;South African AW lsd;22.09.03;*212;
;;;F-W…;Airbus Industrie;06.07.11;;SCR
22;24.05.93;F-WWJM;F-GNIC;Sabena/Air France ;25.06.93;340-211 ;
;;;OO-SCX;Sabena ret;30.03.96;;
;;;F-WQRF;Airbus;03.04.03;;
;;;F-OHLP;Royal Jordanian AL lsd;16.07.03;*212;
;;;JY-AID;Royal Jordanian AL rr;04.07.07;;SCR
23;08.06.93;F-WWJN;TC-JDJ;THY Turkish AL;22.07.93;340-311 ;SCR
24;06.10.93;F-WWJO;D-AIGB;Lufthansa ;30.11.93;340-311 ;SCR
