c/n,f/f,testreg,regi,operator,d/d,type,St
1.0,27.04.05,F-WWOW,,Airbus,27.04.05,380-841,C
2.0,03.11.05,F-WXXL,,Airbus,03.11.05,380-841,STD
3.0,07.05.06,F-WWSA,,Airbus,07.05.06,380-841,
,,,9V-SKA,Singapore AL,12.10.07,,
,,,2-DRPA,Flagship Three (Dr Peters Group),r03.12.17,,SCR
4.0,18.10.05,F-WWDD,,Airbus,18.10.05,380-841*,STD
5.0,19.07.06,F-WWSB,9V-SKB,Singapore AL,11.01.08,380-841,
,,,9H-DPB,Flagship Five (Dr Peters Group),04.18,,SCR
6.0,17.11.06,F-WWSC,9V-SKC,Singapore AL,11.03.08,380-841,
,,D-ASKC,9H-MIP,HiFly Malta,04.07.18,,SCR
7.0,19.02.06,F-WWSD,F-WWJB,Airbus,19.02.06,380-841,
,,,A6-EDF,Emirates AL,11.12.09,*861,C
8.0,19.03.07,F-WWSE,9V-SKD,Singapore AL,26.04.08,380-841,
,,,9H-DPD,Dr. Peters Group ret,07.18,,SCR
9.0,25.08.06,F-WWEA,,Airbus,25.08.06,380-861,
,,,A6-EDJ,Emirates AL,04.06.10,,C
10.0,21.12.07,F-WWSG,9V-SKE,Singapore AL,28.06.08,380-841,
,,,9H-DPE,Dr. Peters Group ret,10.18,,SCR
11.0,04.09.07,"F-WWSH, D-AXAA",A6-EDA,Emirates AL,28.07.08,380-861,SCR
12.0,20.02.08,F-WWSI,9V-SKF,Singapore AL,17.09.08,380-841,C
13.0,02.04.08,F-WWSJ,A6-EDB,Emirates AL,24.10.08,380-861,SCR
14.0,25.01.08,F-WWSK,VH-OQA,Qantas lsd,19.09.08,380-842,STD
15.0,25.06.08,F-WWSL,VH-OQB,Qantas,15.12.08,380-842,C
16.0,28.05.08,F-WWSM,A6-EDC,Emirates AL,14.11.08,380-861,C
17.0,29.09.08,F-WWSN,A6-EDE,Emirates AL,24.04.09,380-861,C
18.0,,F-WWSO,,NOT BUILT,,380-841,
19.0,07.11.08,F-WWSP,9V-SKG,Singapore AL,03.06.09,380-841,SCR
20.0,15.07.08,F-WWSS,A6-EDD,Emirates AL,30.12.08,380-861,C
21.0,10.12.08,F-WWSQ,9V-SKH,Singapore AL,28.05.09,380-841,SCR
22.0,01.08.08,F-WWSS,VH-OQC,Qantas lsd,27.12.08,380-842,STD
23.0,06.05.09,F-WWST,A6-EDG,Emirates AL,23.12.09,380-861,C
24.0,,F-WWSU,,NOT BUILT,,380-841,
25.0,13.07.09,F-WWSV,A6-EDH,Emirates AL,15.01.10,380-861,C
26.0,12.11.08,F-WWSX,VH-OQD,Qantas lsd,22.08.09,380-842,C
27.0,18.03.09,F-WWSY,VH-OQE,Qantas lsd,18.12.09,380-842,STD
28.0,15.10.09,F-WWSZ,A6-EDI,Emirates AL,28.05.10,380-861,C
29.0,30.03.09,F-WWSA,VH-OQF,Qantas lsd,07.01.10,380-842,STD
30.0,14.01.10,F-WWSD,A6-EDK,Emirates AL,02.07.10,380-861,C
31.0,03.03.11,F-WWSF,B-6136,China Southern AL,12.10.11,380-841,
,,,N291JM,Jet Midwest Group,04.03.22,,STD
32.0,,,,NOT BUILT,,380-841,
33.0,12.02.09,F-WWSB,F-HPJA,Air France lsd,29.10.09,380-861,STD
34.0,12.01.09,F-WWSC,9V-SKI,Singapore AL,06.07.09,380-841,C
35.0,16.11.10,F-WWAT,HL7611,Korean AL,31.05.11,380-861,C
36.0,06.05.11,F-WWAM,B-6137,China Southern AL,16.12.11,380-841,
,,,N296JM,Jet Midwest Group,04.03.22,,STD
37.0,,F-WWAH,,NOT BUILT,,380-863F,
38.0,06.10.09,F-WWSH,D-AIMA,Lufthansa,19.05.10,380-841,STD
39.0,07.01.11,F-WWAZ,HL7612,Korean AL,13.07.11,380-861,C
40.0,02.06.09,F-WWSE,F-HPJB,Air France,10.02.10,380-861,SCR
41.0,22.01.10,F-WWAF,D-AIMB,Lufthansa,16.07.10,380-841,STD
42.0,06.04.10,F-WWAO,A6-EDM,Emirates AL,28.09.10,380-861,C
43.0,20.07.09,F-WWAB,F-HPJC,Air France,14.04.10,380-861,STD
44.0,15.02.10,F-WWAJ,D-AIMC,Lufthansa,20.08.10,380-841,STD
45.0,23.02.09,F-WWSG,9V-SKJ,Singapore AL,06.09.09,380-841,C
46.0,29.01.10,F-WWAG,A6-EDL,Emirates AL,12.08.10,380-861,C
47.0,06.08.09,F-WWAD,VH-OQG,Qantas,16.12.10,380-842,STD
