,c/n,f/f_year,operator,type,St
1,30.0,93,Air Inter ,330,
2,37.0,93,Air Inter ,330,
3,45.0,94,Air Inter ,330,
4,50.0,94,Thai AW Int ,330,STD
5,54.0,94,Aer Lingus lsd,330,
6,55.0,94,Aer Lingus lsd,330,
7,59.0,94,Air Inter ,330,
8,60.0,94,Thai AW Int ,330,SCR
9,62.0,94,Thai AW Int ,330,SCR
10,64.0,94,Thai AW Int ,330,SCR
11,65.0,95,Thai AW Int ,330,SCR
12,66.0,95,Thai AW Int ,330,STD
13,67.0,95,Malaysian AS,330,SCR
14,68.0,94,Malaysian AS,330,W/O
15,69.0,94,Malaysian AS,330,SCR
16,70.0,94,Aer Lingus lsd,330,
17,71.0,94,Cathay Pacific,330,
18,72.0,95,LTU lsd,330,
19,73.0,95,Malaysian AS,330,SCR
20,77.0,95,Malaysian AS,330,SCR
21,82.0,94,LTU Int'l AW lsd,330,
22,83.0,95,Cathay Pacific,330,
23,86.0,94,Aer Lingus,330,
24,87.0,95,LTU lsd,330,
25,95.0,95,LTU lsd,330,
26,96.0,95,Malaysian AS lsd,330,
27,98.0,95,Dragonair lsd,330,
28,99.0,95,Cathay Pacific,330,
29,100.0,95,Malaysian AS,330,SCR
30,102.0,95,Cathay Pacific,330,
31,106.0,95,Dragonair lsd,330,
32,107.0,95,Malaysian AS,330,SCR
33,109.0,95,Cathay Pacific,330,
34,110.0,95,Malaysian AS,330,SCR
35,111.0,95,Dragonair lsd,330,
36,112.0,95,Thai AW Int ,330,STD
37,113.0,95,Cathay Pacific,330,
38,116.0,95,Malaysian AS,330,
39,118.0,95,Cathay Pacific,330,
40,119.0,95,Malaysian AS,330,SCR
41,120.0,96,LTU Int'l AW,330,
42,121.0,95,Cathay Pacific,330,
43,122.0,95,Thai AW Int ,330,STD
44,127.0,96,LTU Int'l AW,330,
45,132.0,96,Cathay Pacific,330,
46,138.0,96,Garuda,330,C
47,140.0,96,Garuda Indonesian AW,330,C
48,143.0,96,Malaysian AS lsd,330,
49,144.0,97,Garuda Indonesian AW,330,C
50,148.0,97,Garuda,330,C
51,153.0,97,Garuda Indonesian AW,330,C
52,155.0,96,Cathay Pacific,330,
53,162.0,97,Korean Air,330,C
54,165.0,97,Garuda,330,C
55,171.0,97,LTU ,330,
56,172.0,97,Korean Air,330,C
57,177.0,97,Dragonair lsd,330,
58,181.0,97,PROTO 330-200 #1,330,
59,183.0,97,Philippine AL ,330,
60,184.0,97,Philippine AL ,330,
61,188.0,97,Philippine AL ,330,
62,189.0,97,Philippine AL ,330,
63,191.0,97,Philippine AL ,330,
64,195.0,97,PROTO 330-200 #2,330,
65,198.0,97,Philippine AL ,330,
66,200.0,97,Philippine AL ,330,
67,203.0,98,Philippine AL ,330,
68,205.0,98,Canada 3000 lsd,330,
69,206.0,98,Korean Air,330,
70,209.0,98,Thai AW Int ,330,
71,211.0,98,Canada 3000,330,
72,219.0,98,Korean Air,330,W/O
73,222.0,98,Korean Air,330,
74,223.0,98,Austrian AL ,330,
75,224.0,98,Thai AW Int ,330,SCR
76,226.0,98,Korean Air,330,
77,229.0,98,Swissair,330,
78,230.0,98,Sabena,330,
79,231.0,98,Thai AW Int ,330,
80,232.0,98,TAM Brazil lsd,330,
81,234.0,98,Dragonair ,330,
