c/n,f/f,operator,type,St
6.0,2014-10-15,Qatar AW,350,C
7.0,2015-01-21,Qatar AW,350,C
8.0,2015-07-09,Qatar AW,350,C
9.0,2015-03-27,Qatar AW,350,C
10.0,2015-05-11,Qatar AW,350,C
11.0,2015-08-28,Qatar AW,350,C
12.0,2016-02-05,Qatar AW,350,C
13.0,2015-10-08,Qatar AW,350,C
14.0,2015-06-01,Vietnam AL lsd,350,C
15.0,2015-07-31,Vietnam AL lsd,350,C
16.0,2015-09-10,Vietnam AL lsd,350,C
17.0,2015-10-30,Vietnam AL lsd,350,C
18.0,2015-09-16,Finnair,350,C
19.0,2015-10-22,Finnair,350,C
20.0,2015-11-07,Finnair,350,C
21.0,2016-03-14,Qatar AW,350,C
22.0,2015-12-04,Finnair,350,C
23.0,2016-01-07,Finnair,350,C
24.0,2015-12-01,TAM,350,
25.0,2016-05-06,Qatar AW,350,C
26.0,2016-02-02,Singapore AL,350,C
27.0,2016-02-10,TAM,350,
28.0,2016-04-13,Finnair,350,C
29.0,2016-03-24,Cathay Pacific,350,C
30.0,2016-04-02,Singapore AL,350,C
31.0,2016-04-27,Singapore AL,350,C
32.0,2016-08-04,Cathay Pacific,350,C
33.0,2016-05-30,Qatar AW,350,C
34.0,2016-06-08,Cathay Pacific,350,C
35.0,2016-04-27,TAM,350,
36.0,2016-09-07,Qatar AW,350,C
37.0,2016-06-03,Singapore AL,350,C
38.0,2016-09-05,Cathay Pacific,350,C
39.0,2016-07-25,Cathay Pacific,350,C
40.0,2016-06-08,Ethiopian AL,350,C
41.0,2016-07-06,Singapore AL,350,C
42.0,2016-10-18,Qatar AW,350,C
43.0,2016-08-01,Ethiopian AL,350,C
44.0,2016-07-22,Thai AW International,350,C
45.0,2016-08-05,LATAM,350,
46.0,2016-09-30,Cathay Pacific,350,C
47.0,2017-01-13,Qatar AW,350,C
48.0,2016-09-06,LATAM,350,
49.0,2016-09-14,China AL,350,C
50.0,2016-09-15,Thai AW International,350,C
51.0,2016-09-07,Finnair,350,C
52.0,2016-10-26,Sichuan AL,350,C
53.0,2016-10-28,Cathay Pacific,350,C
54.0,2016-09-26,Singapore AL,350,C
55.0,2016-12-01,Sichuan AL,350,C
56.0,2016-10-05,Vietnam AL,350,C
57.0,2016-10-27,China AL,350,C
58.0,2016-10-18,Cathay Pacific,350,C
60.0,2017-10-27,Sichuan AL,350,C
61.0,2016-11-09,Cathay Pacific,350,C
62.0,2016-11-17,Singapore AL,350,C
63.0,2017-08-25,Qatar AW,350,C
64.0,2016-10-17,LATAM,350,
66.0,2016-12-01,China AL,350,C
67.0,2016-12-13,Vietnam AL,350,C
68.0,2016-11-18,Singapore AL,350,C
69.0,2017-04-06,Qatar AW,350,C
70.0,2017-01-13,Cathay Pacific,350,C
72.0,2017-02-17,Cathay Pacific,350,C
73.0,2016-12-14,China AL,350,C
74.0,2016-11-29,Lufthansa,350,C
75.0,2016-12-11,Cathay Pacific,350,C
76.0,2017-05-17,Qatar AW,350,C
77.0,2016-12-02,Singapore AL,350,C
78.0,2017-09-05,Qatar AW,350,C
79.0,2016-11-29,LATAM,350,
80.0,2017-01-27,Lufthansa,350,C
81.0,2016-12-15,Singapore AL,350,C
82.0,2017-02-08,Air Caraibes,350,C
83.0,2017-06-08,Qatar AW,350,C
84.0,2017-02-06,Singapore AL,350,C
85.0,2017-03-06,Cathay Pacific,350,C
86.0,2017-02-21,Vietnam AL,350,C
87.0,2017-03-13,Lufthansa,350,C
88.0,2017-12-07,Qatar AW,350,C
89.0,2017-01-16,Ethiopian AL,350,C
90.0,2017-10-19,Qatar AW,350,C
91.0,2017-03-09,Air Caraibes,350,C
92.0,2017-02-23,China AL,350,C
93.0,2017-04-12,Cathay Pacific,350,C
94.0,2017-03-28,Asiana AL,350,C
95.0,2017-03-28,Thai AW International,350,C
96.0,2017-03-16,Singapore AL,350,C
97.0,2017-03-11,Finnair,350,C
98.0,2018-09-03,Hainan AL,350,C
99.0,2017-04-12,Singapore AL,350,C
100.0,2018-03-13,Qatar AW,350,C
101.0,2017-05-05,Cathay Pacific,350,C
102.0,2018-05-18,Qatar AW,350,C
103.0,2017-04-10,Ethiopian AL,350,C
104.0,2017-05-11,Finnair,350,C
105.0,2017-05-03,China AL,350,C
106.0,2018-04-13,Qatar AW,350,C
107.0,2017-04-10,Singapore AL,350,C
109.0,2017-04-18,Cathay Pacific,350,C
110.0,2018-07-31,Qatar AW,350,C
111.0,2017-04-28,Thai AW International,350,C
112.0,2018-09-21,Hainan AL,350,C
113.0,2017-06-09,Finnair,350,C
114.0,2018-05-16,Qatar AW,350,C
115.0,2017-05-24,Delta AL,350,C
116.0,2017-05-22,Singapore AL,350,C
117.0,2017-06-29,Asiana AL,350,C
118.0,2018-05-03,Cathay Pacific,350,C
119.0,2017-06-13,Cathay Pacific,350,C
120.0,2017-06-08,Ethiopian AL,350,C
121.0,2017-06-30,China AL,350,C
122.0,2017-06-14,Singapore AL,350,C
123.0,2017-06-22,Thai AW International,350,C
124.0,2017-08-10,Hong Kong AL,350,
125.0,2018-08-27,Qatar AW,350,C
126.0,2018-06-14,Qatar AW,350,C
127.0,2017-07-10,Lufthansa,350,C
128.0,2017-06-28,Cathay Pacific,350,C
129.0,2017-07-19,Vietnam AL,350,C
130.0,2017-07-07,Thai AW International,350,C
132.0,2017-11-24,Qatar AW,350,C
133.0,2017-07-17,Singapore AL,350,C
134.0,2017-08-23,Finnair,350,C
135.0,2017-07-20,Delta AL,350,C
136.0,2017-07-28,Lufthansa,350,C
137.0,2017-09-08,Cathay Pacific,350,C
138.0,2017-07-27,China AL,350,C
140.0,2017-09-07,Singapore AL,350,C
141.0,2018-10-01,Qatar AW,350,C
142.0,2017-08-12,Thai AW International,350,C
143.0,2018-03-16,Qatar AW,350,C
144.0,2017-09-05,Asiana AL,350,C
