c/n,f/f_year,operator,type,St
5.0,06,Singapore AL,380,
6.0,06,Singapore AL,380,
8.0,07,Singapore AL,380,
10.0,07,Singapore AL,380,
11.0,07,Emirates AL,380,SCR
12.0,08,Singapore AL,380,C
13.0,08,Emirates AL,380,SCR
14.0,08,Qantas lsd,380,STD
15.0,08,Qantas,380,C
16.0,08,Emirates AL,380,C
17.0,08,Emirates AL,380,C
19.0,08,Singapore AL,380,SCR
20.0,08,Emirates AL,380,C
21.0,08,Singapore AL,380,SCR
22.0,08,Qantas lsd,380,STD
23.0,09,Emirates AL,380,C
25.0,09,Emirates AL,380,C
26.0,08,Qantas lsd,380,C
27.0,09,Qantas lsd,380,STD
28.0,09,Emirates AL,380,C
29.0,09,Qantas lsd,380,STD
30.0,10,Emirates AL,380,C
31.0,11,China Southern AL,380,
33.0,09,Air France lsd,380,STD
34.0,09,Singapore AL,380,C
35.0,10,Korean AL,380,C
36.0,11,China Southern AL,380,
38.0,09,Lufthansa,380,STD
39.0,11,Korean AL,380,C
40.0,09,Air France,380,SCR
41.0,10,Lufthansa,380,STD
42.0,10,Emirates AL,380,C
43.0,09,Air France,380,STD
44.0,10,Lufthansa,380,STD
45.0,09,Singapore AL,380,C
46.0,10,Emirates AL,380,C
47.0,09,Qantas,380,STD
48.0,10,Lufthansa,380,STD
49.0,10,Air France,380,STD
50.0,09,Qantas lsd,380,C
51.0,09,Singapore AL,380,C
52.0,10,Air France,380,STD
54.0,11,China Southern AL,380,C
55.0,10,Qantas,380,STD
56.0,10,Emirates AL,380,C
57.0,10,Emirates AL,380,C
58.0,10,Singapore AL,380,C
59.0,11,Korean AL,380,C
61.0,10,Lufthansa,380,STD
62.0,10,Qantas,380,C
63.0,11,Qantas,380,C
64.0,10,Air France lsd,380,STD
65.0,10,Singapore AL,380,C
66.0,10,Lufthansa,380,STD
67.0,11,Air France lsd,380,STD
68.0,11,Korean AL,380,C
69.0,10,Lufthansa,380,STD
70.0,10,Lufthansa,380,STD
71.0,10,Singapore AL,380,C
72.0,11,Lufthansa,380,STD
73.0,11,Lufthansa,380,STD
74.0,11,Qantas,380,STD
75.0,11,Korean AL,380,C
76.0,11,Singapore AL,380,C
77.0,11,Emirates AL,380,C
78.0,11,Malaysian AL,380,STD
79.0,11,Singapore AL,380,C
80.0,11,Emirates AL,380,C
81.0,12,Malaysian AL,380,STD
82.0,11,Singapore AL,380,C
83.0,11,Emirates AL,380,C
84.0,12,Malaysian AL,380,STD
85.0,11,Singapore AL,380,C
86.0,11,Emirates AL,380,C
87.0,12,Thai AW,380,STD
88.0,12,China Southern AL,380,C
89.0,12,Malaysian AL,380,STD
90.0,11,Emirates AL,380,C
92.0,12,Singapore AL,380,C
93.0,12,Thai AW,380,STD
94.0,12,Malaysian AL,380,STD
95.0,12,British AW,380,C
96.0,12,Korean AL,380,C
98.0,11,Emirates AL,380,C
99.0,11,Air France lsd,380,STD
100.0,12,Thai AW,380,STD
101.0,11,Emirates AL,380,C
103.0,12,Emirates AL,380,C
105.0,12,Emirates AL,380,C
106.0,12,Emirates AL,380,C
107.0,12,Emirates AL,380,C
108.0,12,Emirates AL,380,C
109.0,12,Emirates AL,380,C
110.0,12,Emirates AL,380,C
111.0,12,Emirates AL,380,C
112.0,12,Emirates AL,380,C
113.0,12,Emirates AL,380,C
114.0,12,Malaysian AL,380,STD
115.0,13,Air France,380,STD
116.0,12,Emirates AL,380,C
117.0,14,Air France,380,STD
119.0,13,Emirates AL,380,C
120.0,12,China Southern AL,380,C
121.0,13,British AW,380,C
122.0,12,Thai AW,380,STD
123.0,13,Emirates AL,380,C
124.0,13,British AW,380,C
125.0,13,Thai AW,380,STD
126.0,13,Korean AL,380,C
127.0,13,Emirates AL,380,C
128.0,13,Korean AL,380,C
130.0,14,Korean AL,380,C
131.0,13,Thai AW,380,STD
132.0,13,Emirates AL,380,C
133.0,13,Emirates AL,380,C
134.0,13,Emirates AL,380,C
135.0,13,Emirates AL,380,C
136.0,13,Emirates AL,380,C
137.0,13,Qatar AW,380,C
138.0,13,Emirates AL,380,C
139.0,13,Emirates AL,380,C
140.0,13,Emirates AL,380,C
141.0,13,Emirates AL,380,C
142.0,13,Emirates AL,380,C
143.0,13,Qatar AW,380,C
144.0,13,British AW,380,C
145.0,14,Qatar AW,380,C
146.0,13,Lufthansa,380,STD
147.0,13,Emirates AL,380,C
148.0,13,British AW,380,C
149.0,13,Lufthansa,380,STD
150.0,13,Emirates AL,380,C
151.0,14,British AW,380,C
152.0,13,Asiana AL,380,C
153.0,14,Emirates AL,380,C
154.0,14,Emirates AL,380,C
155.0,14,Asiana AL,380,C
156.0,14,Korean AL,380,C
157.0,14,Emirates AL lsd,380,C
158.0,14,Emirates AL,380,C
159.0,14,Emirates AL,380,C
160.0,14,Qatar AW,380,C
161.0,14,British AW,380,C
162.0,14,Emirates AL,380,C
163.0,14,British AW,380,C
164.0,14,Emirates AL lsd,380,C
165.0,14,Emirates AL,380,C
166.0,14,Etihad AW,380,STD
167.0,17,Emirates AL,380,C
