c/n,f/f,operator,type,St,year
5.0,2006-07-19,Singapore AL,380,,2006
6.0,2006-11-17,Singapore AL,380,,2006
8.0,2007-03-19,Singapore AL,380,,2007
10.0,2007-12-21,Singapore AL,380,,2007
11.0,2007-09-04,Emirates AL,380,SCR,2007
12.0,2008-02-20,Singapore AL,380,C,2008
13.0,2008-04-02,Emirates AL,380,SCR,2008
14.0,2008-01-25,Qantas lsd,380,STD,2008
15.0,2008-06-25,Qantas,380,C,2008
16.0,2008-05-28,Emirates AL,380,C,2008
17.0,2008-09-29,Emirates AL,380,C,2008
19.0,2008-11-07,Singapore AL,380,SCR,2008
20.0,2008-07-15,Emirates AL,380,C,2008
21.0,2008-12-10,Singapore AL,380,SCR,2008
22.0,2008-08-01,Qantas lsd,380,STD,2008
23.0,2009-05-06,Emirates AL,380,C,2009
25.0,2009-07-13,Emirates AL,380,C,2009
26.0,2008-11-12,Qantas lsd,380,C,2008
27.0,2009-03-18,Qantas lsd,380,STD,2009
28.0,2009-10-15,Emirates AL,380,C,2009
29.0,2009-03-30,Qantas lsd,380,STD,2009
30.0,2010-01-14,Emirates AL,380,C,2010
31.0,2011-03-03,China Southern AL,380,,2011
33.0,2009-02-12,Air France lsd,380,STD,2009
34.0,2009-01-12,Singapore AL,380,C,2009
35.0,2010-11-16,Korean AL,380,C,2010
36.0,2011-05-06,China Southern AL,380,,2011
38.0,2009-10-06,Lufthansa,380,STD,2009
39.0,2011-01-07,Korean AL,380,C,2011
40.0,2009-06-02,Air France,380,SCR,2009
41.0,2010-01-22,Lufthansa,380,STD,2010
42.0,2010-04-06,Emirates AL,380,C,2010
43.0,2009-07-20,Air France,380,STD,2009
44.0,2010-02-15,Lufthansa,380,STD,2010
45.0,2009-02-23,Singapore AL,380,C,2009
46.0,2010-01-29,Emirates AL,380,C,2010
47.0,2009-08-06,Qantas,380,STD,2009
48.0,2010-04-29,Lufthansa,380,STD,2010
49.0,2010-02-22,Air France,380,STD,2010
50.0,2009-08-28,Qantas lsd,380,C,2009
51.0,2009-09-10,Singapore AL,380,C,2009
52.0,2010-08-10,Air France,380,STD,2010
54.0,2011-08-12,China Southern AL,380,C,2011
55.0,2010-07-15,Qantas,380,STD,2010
56.0,2010-05-17,Emirates AL,380,C,2010
57.0,2010-06-11,Emirates AL,380,C,2010
58.0,2010-07-23,Singapore AL,380,C,2010
59.0,2011-02-16,Korean AL,380,C,2011
61.0,2010-08-03,Lufthansa,380,STD,2010
62.0,2010-09-09,Qantas,380,C,2010
63.0,2011-04-01,Qantas,380,C,2011
64.0,2010-08-27,Air France lsd,380,STD,2010
65.0,2010-09-29,Singapore AL,380,C,2010
66.0,2010-10-18,Lufthansa,380,STD,2010
67.0,2011-09-23,Air France lsd,380,STD,2011
68.0,2011-03-15,Korean AL,380,C,2011
69.0,2010-11-22,Lufthansa,380,STD,2010
70.0,2010-12-09,Lufthansa,380,STD,2010
71.0,2010-11-08,Singapore AL,380,C,2010
72.0,2011-11-16,Lufthansa,380,STD,2011
73.0,2011-11-28,Lufthansa,380,STD,2011
74.0,2011-04-19,Qantas,380,STD,2011
75.0,2011-05-16,Korean AL,380,C,2011
76.0,2011-06-22,Singapore AL,380,C,2011
77.0,2011-03-18,Emirates AL,380,C,2011
78.0,2011-10-20,Malaysian AL,380,STD,2011
79.0,2011-10-03,Singapore AL,380,C,2011
80.0,2011-04-18,Emirates AL,380,C,2011
81.0,2012-01-17,Malaysian AL,380,STD,2012
82.0,2011-09-05,Singapore AL,380,C,2011
83.0,2011-05-31,Emirates AL,380,C,2011
84.0,2012-03-14,Malaysian AL,380,STD,2012
85.0,2011-12-13,Singapore AL,380,C,2011
86.0,2011-06-17,Emirates AL,380,C,2011
87.0,2012-03-05,Thai AW,380,STD,2012
88.0,2012-03-26,China Southern AL,380,C,2012
89.0,2012-05-21,Malaysian AL,380,STD,2012
90.0,2011-07-11,Emirates AL,380,C,2011
92.0,2012-02-03,Singapore AL,380,C,2012
93.0,2012-06-06,Thai AW,380,STD,2012
94.0,2012-09-12,Malaysian AL,380,STD,2012
95.0,2012-11-09,British AW,380,C,2012
96.0,2012-06-27,Korean AL,380,C,2012
98.0,2011-08-29,Emirates AL,380,C,2011
99.0,2011-10-18,Air France lsd,380,STD,2011
100.0,2012-08-13,Thai AW,380,STD,2012
101.0,2011-10-28,Emirates AL,380,C,2011
103.0,2012-01-10,Emirates AL,380,C,2012
105.0,2012-02-28,Emirates AL,380,C,2012
106.0,2012-04-05,Emirates AL,380,C,2012
107.0,2012-04-26,Emirates AL,380,C,2012
108.0,2012-04-23,Emirates AL,380,C,2012
109.0,2012-05-11,Emirates AL,380,C,2012
110.0,2012-07-05,Emirates AL,380,C,2012
111.0,2012-07-19,Emirates AL,380,C,2012
112.0,2012-08-02,Emirates AL,380,C,2012
113.0,2012-11-26,Emirates AL,380,C,2012
114.0,2012-10-29,Malaysian AL,380,STD,2012
115.0,2013-03-08,Air France,380,STD,2013
116.0,2012-12-14,Emirates AL,380,C,2012
117.0,2014-01-16,Air France,380,STD,2014
119.0,2013-01-03,Emirates AL,380,C,2013
120.0,2012-09-25,China Southern AL,380,C,2012
121.0,2013-02-04,British AW,380,C,2013
122.0,2012-10-12,Thai AW,380,STD,2012
123.0,2013-01-17,Emirates AL,380,C,2013
124.0,2013-03-25,British AW,380,C,2013
125.0,2013-06-18,Thai AW,380,STD,2013
126.0,2013-01-24,Korean AL,380,C,2013
127.0,2013-04-23,Emirates AL,380,C,2013
128.0,2013-03-20,Korean AL,380,C,2013
130.0,2014-02-12,Korean AL,380,C,2014
131.0,2013-04-24,Thai AW,380,STD,2013
132.0,2013-02-22,Emirates AL,380,C,2013
133.0,2013-04-10,Emirates AL,380,C,2013
134.0,2013-05-13,Emirates AL,380,C,2013
135.0,2013-05-22,Emirates AL,380,C,2013
136.0,2013-06-03,Emirates AL,380,C,2013
137.0,2013-09-06,Qatar AW,380,C,2013
138.0,2013-06-24,Emirates AL,380,C,2013
139.0,2013-07-05,Emirates AL,380,C,2013
140.0,2013-07-15,Emirates AL,380,C,2013
141.0,2013-10-08,Emirates AL,380,C,2013
142.0,2013-11-06,Emirates AL,380,C,2013
143.0,2013-11-08,Qatar AW,380,C,2013
144.0,2013-08-01,British AW,380,C,2013
145.0,2014-02-11,Qatar AW,380,C,2014
146.0,2013-10-14,Lufthansa,380,STD,2013
147.0,2013-11-05,Emirates AL,380,C,2013
148.0,2013-10-09,British AW,380,C,2013
149.0,2013-12-02,Lufthansa,380,STD,2013
150.0,2013-12-10,Emirates AL,380,C,2013
151.0,2014-01-13,British AW,380,C,2014
152.0,2013-12-13,Asiana AL,380,C,2013
153.0,2014-01-24,Emirates AL,380,C,2014
154.0,2014-02-18,Emirates AL,380,C,2014
155.0,2014-02-25,Asiana AL,380,C,2014
156.0,2014-03-05,Korean AL,380,C,2014
157.0,2014-03-12,Emirates AL lsd,380,C,2014
158.0,2014-03-24,Emirates AL,380,C,2014
159.0,2014-04-14,Emirates AL,380,C,2014
160.0,2014-05-14,Qatar AW,380,C,2014
161.0,2014-04-24,British AW,380,C,2014
